,index,Trading Day,Maturity,Delivery Start,Delivery End,Lot Size,Settlement Price,Open Interest Volume,Open Interest Lots,Country,DayDifference
38411,3415,2021-01-04,2021-01,2021-01-10,2021-01-10,24.0,48.59,,,GER,6.0
43016,3421,2021-01-04,2021-01,2021-01-09,2021-01-09,24.0,56.02,,,HU,5.0
43017,3422,2021-01-04,2021-01,2021-01-10,2021-01-10,24.0,47.88,,,HU,6.0
38410,3414,2021-01-04,2021-01,2021-01-09,2021-01-09,24.0,55.31,,,GER,5.0
1536,3411,2021-01-04,2021-01,2021-01-05,2021-01-05,24.0,58.72,,,CH,1.0
1537,3412,2021-01-04,2021-01,2021-01-06,2021-01-06,24.0,63.5,,,CH,2.0
1538,3413,2021-01-04,2021-01,2021-01-07,2021-01-07,24.0,73.0,,,CH,3.0
43015,3420,2021-01-04,2021-01,2021-01-08,2021-01-08,24.0,68.38,,,HU,4.0
1539,3414,2021-01-04,2021-01,2021-01-08,2021-01-08,24.0,73.0,,,CH,4.0
1541,3416,2021-01-04,2021-01,2021-01-10,2021-01-10,24.0,51.7,,,CH,6.0
29191,3411,2021-01-04,2021-01,2021-01-05,2021-01-05,24.0,57.29,,,AT,1.0
6154,3416,2021-01-04,2021-01,2021-01-10,2021-01-10,24.0,53.21,,,IT,6.0
6153,3415,2021-01-04,2021-01,2021-01-09,2021-01-09,24.0,58.29,,,IT,5.0
6152,3414,2021-01-04,2021-01,2021-01-08,2021-01-08,24.0,72.9,,,IT,4.0
6151,3413,2021-01-04,2021-01,2021-01-07,2021-01-07,24.0,72.86,,,IT,3.0
38408,3412,2021-01-04,2021-01,2021-01-07,2021-01-07,24.0,69.25,10320.0,430.0,GER,3.0
6150,3412,2021-01-04,2021-01,2021-01-06,2021-01-06,24.0,57.28,,,IT,2.0
43014,3419,2021-01-04,2021-01,2021-01-07,2021-01-07,24.0,67.75,1920.0,80.0,HU,3.0
43012,3417,2021-01-04,2021-01,2021-01-05,2021-01-05,24.0,52.32,3120.0,130.0,HU,1.0
38407,3411,2021-01-04,2021-01,2021-01-06,2021-01-06,24.0,56.03,12600.0,525.0,GER,2.0
38406,3410,2021-01-04,2021-01,2021-01-05,2021-01-05,24.0,55.34,35280.0,1470.0,GER,1.0
19971,3411,2021-01-04,2021-01,2021-01-05,2021-01-05,24.0,67.55,3480.0,145.0,ES,1.0
19972,3412,2021-01-04,2021-01,2021-01-06,2021-01-06,24.0,59.5,,,ES,2.0
19973,3413,2021-01-04,2021-01,2021-01-07,2021-01-07,24.0,62.0,,,ES,3.0
19974,3414,2021-01-04,2021-01,2021-01-08,2021-01-08,24.0,58.0,600.0,25.0,ES,4.0
43013,3418,2021-01-04,2021-01,2021-01-06,2021-01-06,24.0,57.78,3000.0,125.0,HU,2.0
