Date,LP_european_brent,LP_romania_base,LP_bulgaria_base,LP_czechia_base,LP_dutch_base,LP_austria_base,LP_poland_base,LP_greece_base,LP_swiss_base,LP_belgium_base,LP_dutch_gas,LP_german_energy,LP_brit_gas,LP_french_base,LP_uk_base,LP_spain_base,LP_hungary_base,LP_german_gas
2021-07-01,75.67,102.76,101.61,91.59,88.88,90.41,83.61,98.99,87.28,82.79,36.179,86.21,69.5,88.07,90.89,91.35,103.07,36.205
2021-07-02,75.97,101.21,100.07,91.24,89.2,89.53,83.62,98.9,87.65,82.84,35.844,85.3,69.5,87.5,91.01,92.52,101.58,35.874
2021-07-05,77.11,99.37,98.96,93.7,90.41,91.7,83.89,98.31,89.73,82.79,37.986,88.16,69.5,89.7,93.44,94.39,101.19,37.903
2021-07-06,74.91,97.5,96.58,90.08,88.48,87.81,84.09,98.57,88.48,83.3,34.26,79.82,86,86.07,85.36,92.83,98.61,34.251
2021-07-07,73.42,96.79,95.78,89.56,87.08,88.98,84.38,98.77,85.78,83.69,32.421,79.67,86,85.08,83.09,92.7,97.62,32.229
2021-07-08,74.31,92.04,91.17,87.99,85.1,85.89,84.47,98.8,84.63,83.96,33.268,81.26,82.5,83.63,84.48,91.64,92.83,33.094
2021-07-09,75.59,94.09,93.54,91.13,87.3,89.06,84.33,98.37,86.3,83.93,36.75,86.01,82.5,87.12,90.8,91.57,95.31,36.625
2021-07-12,75.2,92.49,91.46,89.42,86.11,87,84.19,98.02,85.65,84.55,34.688,82.18,82.5,85.38,86.1,92.45,93.44,34.486
2021-07-13,76.46,91.73,90.54,88.33,85.49,86.66,84.25,98.09,85.19,84.33,35.452,82.71,87.5,84.42,87.61,91.63,91.74,35.333
2021-07-14,74.59,92.18,90.86,87.96,85.22,87.37,84.37,98.66,84.92,84.19,34.819,78.79,87.5,83.94,86.49,91.75,92.9,34.801
2021-07-15,73.3,92.52,90.91,87.59,84.76,85.68,84.51,98.95,84.42,84.24,33.899,79.97,84.5,83.23,85.19,91.51,93.11,34.002
2021-07-16,73.18,92.52,91.34,87.99,84.92,86.54,84.31,98.81,84.76,83.62,34.792,82.09,86.25,83.46,87.57,92.28,93.39,34.669
2021-07-19,68.74,93.64,93.16,88.64,85.45,87.33,83.72,99.42,85.29,83.04,35.685,81.54,86.25,84.12,89.9,92.11,94.76,35.787
2021-07-20,68.62,93.44,92.62,87.4,84.73,85.92,83.77,99.39,84.27,83.24,35.105,79.9,87,82.76,88.56,92.71,93.57,35.192
2021-07-21,72.16,92.31,92.12,87.39,84.57,85.61,83.84,99.2,83.94,83.41,35.893,80.54,89,82.58,89.71,92.67,93.25,35.847
2021-07-22,73.63,92.11,91.83,86.77,84.54,85.99,83.87,98.96,83.33,83.6,36.121,77.74,89,82.06,89.54,92.77,93.12,36.193
2021-07-23,74.05,91.18,91.2,86.17,84.56,84.67,83.71,98.44,83.25,83.43,35.557,77.06,89,81.98,89.03,92.83,92.69,35.645
2021-07-26,74.81,91.59,91.51,83.76,82.75,82.7,83.07,97.71,81.37,83.1,36.843,78.47,69.925,80.26,92.51,93.34,94.7,36.863
2021-07-27,74.57,92,92.13,84.46,83.23,83.11,83.09,98.36,81.47,82.48,37.581,79.6,72.1,80.22,94.06,93.22,94.48,37.65
2021-07-28,74.79,92.44,92.95,85.49,82.73,84.08,82.96,99.18,81.69,80.81,39.662,82.04,87,79.85,98.68,93.18,94.4,39.672
2021-08-02,73.23,105.43,105.12,88.7,91.66,86.34,79,109.23,82.34,77.02,42.188,92.03,107.5,80.14,103.82,93.55,103.72,42.086
2021-08-03,72.18,109.13,108.71,87.79,90.57,86,79.48,111.81,82.6,77.67,41.208,91.36,107.5,79.78,102.49,94.38,107.53,41.031
2021-08-04,70.22,109.01,108.57,87.13,89.1,84.98,79.65,113.72,82.83,78.12,42.232,92,107.5,79.85,103.54,94.18,105.75,42.013
2021-08-05,71.22,112.06,110.43,86.37,88.14,83.89,79.66,114.53,82.39,76.4,42.88,93.34,107.5,77.72,105.31,94.6,107.83,42.709
2021-08-06,70.49,117.6,115.73,88.03,88.64,84.9,79.45,115.18,83.34,75.37,43.162,92.84,107.5,79.72,104.97,96.74,114.1,43.011
2021-08-09,69.21,120.32,120.14,85.76,86.75,82.38,79.08,118.48,82.49,72.8,42.8,92.58,107.5,78.96,105.08,99.2,116.8,42.657
2021-08-10,70.86,120.14,120.78,86.45,86.91,85.13,79.31,119.95,83.29,73.55,44.635,94.44,107.5,79.85,107.18,98.8,114.85,44.52
2021-08-11,71.62,119.96,119.82,86.91,87.98,84.4,79.54,120.11,83.29,74.49,45.967,97.37,107.5,80.41,110.46,100.77,114.49,45.879
2021-08-12,71.15,117.7,117.65,86.82,87.82,84.14,79.75,120.34,83.24,75.05,45.885,95.8,113.25,80.31,109.27,103.01,112.92,45.882
2021-08-13,70.21,117.46,117.44,86.97,88.04,85.5,79.66,120.06,83.58,74.67,44.611,93.49,113.25,80.33,107.51,103.72,113.09,44.644
2021-08-16,69.66,116.33,116.63,87.92,88.71,85.03,78.94,120.14,83.18,72.89,47.983,98,115.6,79.26,112.78,101.82,111.96,47.565
2021-08-17,69.1,116.25,115.24,87.04,88.95,84.76,78.82,120.4,82.97,73.15,46.912,96.23,115.6,78.6,110.9,101.78,111.66,46.808
2021-08-18,67.4,114.5,113.5,86.96,89.85,84.59,78.94,120.36,82.97,73.84,45.3,92.9,117.55,79.18,107.59,103.58,109.93,45.137
2021-08-19,66.53,113.07,111.59,84.67,88.37,82.07,79.33,120.18,80.87,74.64,40.245,88.73,117.55,76.9,99.84,103.74,109.07,39.86
2021-08-20,65.04,111.5,110.35,84.76,86.4,82.34,79.3,119.96,80.91,75.11,42.066,88.85,103,76.47,102.29,103.79,107.53,41.715
2021-08-23,68.71,112.11,110.75,83.68,85.16,82.28,79.45,119.88,80.58,75.83,41.785,90.71,103,75.56,102.51,103.41,107.88,41.485
2021-08-24,71.16,112.37,110.51,83.86,85.38,81.25,79.67,120.02,80.76,76.27,44.84,94.62,103,76.05,108.26,104.1,108.72,44.23
2021-08-25,71.87,112.41,110.93,84.23,85.86,81.51,79.95,120.45,81.09,76.8,45.253,93.1,103,76.22,109.22,105.17,109.08,44.832
2021-08-26,71.35,112.58,110.86,83.7,85.45,81.67,80.39,120.52,81.13,77.42,45.758,94.16,112,76.17,110.34,105.28,108.56,45.309
2021-09-01,71.33,108.5,108.17,105.49,114.6,104.51,86.09,113.09,107.21,115.02,50.194,101.9,125.5,103.46,120.09,124.43,108.93,49.136
2021-09-02,72.89,112.94,113.32,110.23,112.18,109.57,86.38,113.24,111.07,116.6,52.09,106.15,129,108.05,124.33,125.8,113.43,51.289
2021-09-03,72.4,112.76,112.58,111.33,116.21,110.54,86.79,113.8,114.09,118.1,51.565,106.98,129,111.12,123.97,127.05,113.39,51.3
2021-09-06,72.1,119.35,118.13,116.01,118.89,115.13,87.56,113.94,117.83,120,52.826,110.41,129,115.35,126.41,129.4,120.21,52.125
2021-09-07,71.6,118.78,116.97,117.63,119.13,116.84,87.89,114.02,119.03,121.68,53.888,112.48,134.5,116.83,128.44,132.35,119.33,53.249
2021-09-08,72.71,120.18,118.12,119.57,120.24,118.94,88.16,114.77,121.4,124.02,55.217,114,138,119.08,131.89,133.12,121.63,54.443
2021-09-09,71.23,122.95,120.9,121.86,122.54,121.37,88.64,115.68,123.76,126.13,56.502,116,138,120.82,133.73,135.77,124.47,56.17
2021-09-10,72.91,126.97,124.86,125.51,122.94,124.97,89.11,116.1,126.07,127.79,57.892,119.19,140,123.89,136.43,139.43,128.43,57.666
2021-09-13,73.63,132.61,130.15,131.96,134,131.82,91.49,117.43,133.26,138.67,61.087,129.09,152.75,131.96,145.92,143.42,134.96,61.233
2021-09-14,73.95,136.38,132.91,136.87,139.15,138.11,92.05,119.43,139.87,147.47,65.477,142.73,164,137.84,158.81,146.74,139.05,65.23
2021-09-15,75.49,143.07,139.71,144.97,147.09,147.79,92.88,121.53,146.72,164.29,70.802,126.5,164,144.95,182.98,152.87,146.61,70.725
